epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,599.497,1.90223,1.00493,0.00092,0.68775,0.81393,0.77447,0.35041,1.77866,0.96937,0.00112,0.000693305,0.000693305,0.000693305
61,608.207,1.89054,0.95327,0.00094,0.71464,0.80646,0.7646,0.34784,1.76958,0.93648,0.00111,0.000676802,0.000676802,0.000676802
62,618.061,1.84659,0.97898,0.00093,0.68657,0.79332,0.74214,0.35191,1.71952,0.91929,0.00108,0.000660299,0.000660299,0.000660299
63,627.636,1.87118,0.97557,0.00092,0.66347,0.80578,0.73025,0.33896,1.78606,0.9547,0.00111,0.000643795,0.000643795,0.000643795
64,636.745,1.94588,0.98296,0.00097,0.68086,0.80157,0.74125,0.35116,1.75556,0.94953,0.0011,0.000627292,0.000627292,0.000627292
65,646.234,1.91208,0.93522,0.00098,0.68264,0.81751,0.75599,0.36434,1.68868,0.91561,0.00105,0.000610789,0.000610789,0.000610789
66,655.036,1.87717,0.96734,0.00092,0.70248,0.80958,0.75405,0.35183,1.75889,0.96287,0.00109,0.000594286,0.000594286,0.000594286
67,664.468,1.89596,0.9442,0.00095,0.68786,0.75166,0.75245,0.33813,1.77079,0.95925,0.0011,0.000577782,0.000577782,0.000577782
68,673.833,1.89093,0.95257,0.00091,0.69154,0.78719,0.76056,0.33891,1.81718,0.9587,0.00112,0.000561279,0.000561279,0.000561279
69,683.172,1.87608,0.96045,0.00094,0.68137,0.77021,0.76611,0.33554,1.86204,0.97061,0.00116,0.000544776,0.000544776,0.000544776
70,693.076,1.84777,0.96901,0.00092,0.66701,0.79301,0.75764,0.34601,1.79156,0.98432,0.00111,0.000528272,0.000528272,0.000528272
71,702.361,1.81631,0.9473,0.00091,0.69174,0.77925,0.76442,0.33013,1.8312,0.97534,0.00115,0.000511769,0.000511769,0.000511769
72,712.556,1.88083,0.95362,0.00094,0.71083,0.83874,0.79118,0.36713,1.71333,0.89516,0.00106,0.000495266,0.000495266,0.000495266
73,722.307,1.82105,0.94561,0.00091,0.69372,0.82939,0.78818,0.3567,1.74611,0.92855,0.00108,0.000478762,0.000478762,0.000478762
74,732.109,1.81609,0.94738,0.00086,0.69089,0.82423,0.77183,0.34789,1.84383,0.94867,0.00114,0.000462259,0.000462259,0.000462259
75,741.823,1.82452,0.94567,0.0009,0.69464,0.82234,0.7734,0.35039,1.80144,0.94123,0.00111,0.000445756,0.000445756,0.000445756
76,752.323,1.84251,0.94602,0.00091,0.6992,0.81734,0.76334,0.3344,1.81261,0.95634,0.00113,0.000429253,0.000429253,0.000429253
77,762.8,1.82447,0.96348,0.0009,0.68105,0.80269,0.76551,0.35962,1.69977,0.93647,0.00106,0.000412749,0.000412749,0.000412749
78,774.361,1.81343,0.9456,0.00089,0.71249,0.81248,0.77152,0.35526,1.76301,0.92624,0.00109,0.000396246,0.000396246,0.000396246
79,785.256,1.85101,0.96611,0.00091,0.65909,0.7311,0.71984,0.29044,1.94061,1.00765,0.00122,0.000379743,0.000379743,0.000379743
80,795.441,1.82427,0.97746,0.00087,0.69097,0.79463,0.75617,0.33939,1.80345,0.93872,0.00113,0.000363239,0.000363239,0.000363239
81,805.83,1.77602,0.92363,0.00087,0.69433,0.79744,0.76376,0.35009,1.74957,0.94162,0.00109,0.000346736,0.000346736,0.000346736
82,817.639,1.7654,0.91213,0.00087,0.66177,0.78623,0.74747,0.328,1.84916,0.96211,0.00115,0.000330233,0.000330233,0.000330233
83,828.24,1.83423,0.93493,0.00091,0.68359,0.81989,0.77151,0.35878,1.76746,0.91937,0.0011,0.000313729,0.000313729,0.000313729
84,838.241,1.76472,0.95727,0.00088,0.67567,0.80458,0.75349,0.34241,1.77486,0.93275,0.00111,0.000297226,0.000297226,0.000297226
85,849.417,1.78235,0.93707,0.00085,0.69767,0.83328,0.77443,0.35766,1.73521,0.90425,0.00107,0.000280723,0.000280723,0.000280723
86,859.935,1.77846,0.92309,0.0009,0.68327,0.82019,0.7759,0.35757,1.73219,0.90125,0.00107,0.00026422,0.00026422,0.00026422
87,871.138,1.83012,0.93585,0.00087,0.69163,0.81971,0.76791,0.35284,1.73943,0.92173,0.00108,0.000247716,0.000247716,0.000247716
