epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,19098.3,1.42599,0.52605,0.00048,0.89305,0.81649,0.93597,0.5999,1.34083,0.6192,0.00043,0.000258355,0.000258355,0.000258355
77,19349.4,1.41864,0.52252,0.00048,0.89627,0.81721,0.93568,0.59644,1.35961,0.61418,0.00044,0.000240316,0.000240316,0.000240316
78,19602.8,1.41837,0.5209,0.00047,0.89306,0.80914,0.93801,0.60416,1.32508,0.61278,0.00043,0.00022287,0.00022287,0.00022287
79,19861.1,1.40034,0.50341,0.00047,0.88678,0.84224,0.9424,0.60596,1.33623,0.58991,0.00043,0.000206034,0.000206034,0.000206034
80,20118.8,1.40884,0.52081,0.00048,0.89468,0.80155,0.92888,0.59583,1.35146,0.64462,0.00044,0.000189827,0.000189827,0.000189827
81,20369.9,1.38707,0.51821,0.00046,0.89182,0.83508,0.94443,0.59842,1.35953,0.59193,0.00044,0.000174262,0.000174262,0.000174262
82,20624.8,1.39244,0.51601,0.00046,0.89136,0.83716,0.94504,0.596,1.38622,0.58888,0.00044,0.000159357,0.000159357,0.000159357
83,20879.4,1.39853,0.52055,0.00048,0.9128,0.8142,0.93466,0.60766,1.32373,0.61343,0.00043,0.000145125,0.000145125,0.000145125
84,21133.1,1.37268,0.50646,0.00045,0.9044,0.8185,0.93412,0.59777,1.35243,0.63083,0.00044,0.000131581,0.000131581,0.000131581
85,21384.8,1.35679,0.49747,0.00045,0.90194,0.82329,0.93488,0.60212,1.33943,0.62528,0.00044,0.000118737,0.000118737,0.000118737
86,21632.6,1.38788,0.51917,0.00046,0.91489,0.82548,0.94289,0.60375,1.34951,0.58953,0.00044,0.000106608,0.000106608,0.000106608
87,21891.4,1.39501,0.51628,0.00047,0.9033,0.82104,0.93924,0.60736,1.32402,0.60829,0.00043,9.52034e-05,9.52034e-05,9.52034e-05
88,22152,1.39077,0.5136,0.00047,0.91232,0.84273,0.94474,0.60165,1.35437,0.58869,0.00044,8.4536e-05,8.4536e-05,8.4536e-05
